Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Populus tremuloides,54,1327,340,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,65,21230,320,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,95,26770,300,NA,NA,NA,BC - Moderate site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,15,3390,210,NA,NA,NA,BC - poor site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,25,5950,250,NA,NA,NA,BC - poor site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,65,18830,320,NA,NA,NA,BC - poor site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Populus tremuloides,95,24540,310,NA,NA,NA,BC - poor site,,"Wang, J. R., A. L. Zhong, P. Comeau, M. Tsze, and J. P. Kimmins. 1995. Aboveground biomass and nutrient accumulation in an age sequence of aspen (Populus tremuloides) stands in the Boreal White and Black Spruce Zone, British Columbia. Forest Ecology and Management 78:127–138.",,,,,,,,
Pinus sylvestris,NA,NA,NA,NA,NA,NA,NA,TODO - has biomass and LAI; bad formatting,"Jagodziński, A., and I. Kałucka. 2008. Age-related changes in leaf area index of young Scots pine stands. Dendrobiology 59:57–65.",,,,,,,,
Quercus rubra,28,6890,370,0.481241915,4.5,773,"Coulee Experimental Forest, WI",Monospecific plantations,"Gower, S. T., P. B. Reich, and Y. Son. 1993. Canopy dynamics and aboveground production of five tree species with different leaf longevities. Tree Physiology 12:327–345.",,,,,,,,
Larix decidua,28,19100,370,0.440197287,5.1,811,"Coulee Experimental Forest, WI",Monospecific plantations,"Gower, S. T., P. B. Reich, and Y. Son. 1993. Canopy dynamics and aboveground production of five tree species with different leaf longevities. Tree Physiology 12:327–345.",,,,,,,,
Pinus strobus,28,17450,970,0.402325581,7.4,860,"Coulee Experimental Forest, WI",Monospecific plantations,"Gower, S. T., P. B. Reich, and Y. Son. 1993. Canopy dynamics and aboveground production of five tree species with different leaf longevities. Tree Physiology 12:327–345.",,,,,,,,
Pinus resinosa,28,1680,1640,0.637735849,6.2,530,"Coulee Experimental Forest, WI",Monospecific plantations,"Gower, S. T., P. B. Reich, and Y. Son. 1993. Canopy dynamics and aboveground production of five tree species with different leaf longevities. Tree Physiology 12:327–345.",,,,,,,,
Picea abies,28,16850,3050,0.490974729,10.2,1108,"Coulee Experimental Forest, WI",Monospecific plantations,"Gower, S. T., P. B. Reich, and Y. Son. 1993. Canopy dynamics and aboveground production of five tree species with different leaf longevities. Tree Physiology 12:327–345.",,,,,,,,
Pinus banksiana,54,NA,NA,0.325,1.4,400,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus banksiana,61,NA,NA,0.413793103,1.4,290,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus banksiana,54,NA,NA,0.276595745,1.4,470,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus banksiana,52,NA,NA,0.363636364,1.2,330,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Mixed,76,NA,NA,0.4375,4.3,640,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus banksiana,51,NA,NA,0.358974359,1.8,390,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus resinosa,75,NA,NA,0.352941176,3.4,510,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus banksiana,NA,NA,NA,0.447368421,2.4,380,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,78,NA,NA,0.456140351,4.7,570,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,58,NA,NA,0.270588235,4.2,850,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Mixed,90,NA,NA,0.448979592,4,490,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus resinosa,67,NA,NA,0.512820513,3.1,390,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,65,NA,NA,0.366197183,5.2,710,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,65,NA,NA,0.314606742,5.5,890,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,81,NA,NA,0.46031746,5.3,630,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,72,NA,NA,0.322916667,5.8,960,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,NA,NA,NA,0.305263158,6.6,950,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,75,NA,NA,0.294871795,5.7,780,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,79,NA,NA,0.347222222,5.6,720,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,67,NA,NA,0.329411765,6.2,850,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,71,NA,NA,0.269565217,7.3,1150,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,NA,NA,NA,0.369565217,8.4,920,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,NA,NA,NA,0.375,4.9,640,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Hardwood,59,NA,NA,0.309278351,7.1,970,Northern WI,,"Fassnacht, K. S., and S. T. Gower. 1997. Interrelationships among the edaphic and stand characteristics, leaf area index, and aboveground net primary production of upland forest ecosystems in north central Wisconsin 27:10.",,,,,,,,
Pinus strobus,94,NA,NA,NA,1,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,107,NA,NA,NA,2,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,80,NA,NA,NA,1.5,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,80,NA,NA,NA,1.1,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,127,NA,NA,NA,1.5,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,121,NA,NA,NA,2.4,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,39,NA,NA,NA,2.4,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,81,NA,NA,NA,1.4,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,47,NA,NA,NA,1.7,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,34,NA,NA,NA,2.3,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,54,NA,NA,NA,1.6,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Pinus strobus,54,NA,NA,NA,1.5,NA,New Hampsire,,"Innes, J. C., M. J. Ducey, J. H. Gove, W. B. Leak, and J. P. Barrett. 2005. Size density metrics, leaf area, and productivity in eastern white pine. Canadian Journal of Forest Research 35:2469–2478.",,,,,,,,
Populus tremuloides,NA,620,NA,NA,1.29,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,730,NA,NA,1.65,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,810,NA,NA,1.61,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,960,NA,NA,2.07,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,1280,NA,NA,2.76,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,2250,NA,NA,2.85,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,2300,NA,NA,2.47,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,2700,NA,NA,2.79,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,3130,NA,NA,2.63,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,3860,NA,NA,3.39,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,8110,NA,NA,2.06,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,10340,NA,NA,2.46,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,11120,NA,NA,3.12,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,11800,NA,NA,2.47,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,13430,NA,NA,2.43,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,13710,NA,NA,2.52,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,15660,NA,NA,2.85,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,15670,NA,NA,2.74,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,16170,NA,NA,2.71,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,16890,NA,NA,3.04,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,16890,NA,NA,2.56,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,17650,NA,NA,2.94,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,17820,NA,NA,2.97,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,18160,NA,NA,3.04,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,18350,NA,NA,3.2,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,18790,NA,NA,3.32,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,19460,NA,NA,3.05,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,20210,NA,NA,3.23,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,20540,NA,NA,3.97,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,20940,NA,NA,3,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,21880,NA,NA,3.27,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Populus tremuloides,NA,22160,NA,NA,3.52,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,680,NA,NA,0.48,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,880,NA,NA,0.52,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,890,NA,NA,0.59,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,1030,NA,NA,0.69,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,1090,NA,NA,0.74,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,1270,NA,NA,0.84,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,1350,NA,NA,0.71,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,2370,NA,NA,1.32,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,3530,NA,NA,2,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,3620,NA,NA,1.69,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,5280,NA,NA,1.83,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,5570,NA,NA,2.44,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,6790,NA,NA,2.69,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,7250,NA,NA,3.67,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,7310,NA,NA,2.28,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,8290,NA,NA,2.6,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,8450,NA,NA,3.09,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,8580,NA,NA,3.09,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,8700,NA,NA,2.79,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,8720,NA,NA,3.48,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,9150,NA,NA,2.7,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,10040,NA,NA,3.03,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,10090,NA,NA,3.74,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,10360,NA,NA,3.73,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,10680,NA,NA,2.69,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,11140,NA,NA,2.84,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
Picea mariana,NA,12380,NA,NA,2.88,NA,"Superior NF, MN",,"Woods, K. D., A. H. Feiveson, and D. B. Botkin. 1991. Statistical error analysis for biomass density and leaf area index estimation. Canadian Journal of Forest Research 21:974–989.",,,,,,,,
