Species,Age,Total aboveground biomass (g m-2),Leaf biomass (g m-2),Proportion ANPP to leaves,LAI,Annual production (g m-2),Site,Notes,Source,,,,,,,,
Populus tremuloides,67,12117.02128,161.7021277,0.304347826,2.2,529.787234,"Thompson, Manitoba",Converted from carbon density. ANPP is wood + foliage,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Picea mariana,115,12172.34043,842.5531915,0.148305085,4.2,236.1702128,"Thompson, Manitoba",Converted from carbon density. ANPP is wood + foliage,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Pinus banksiana,25,1659.574468,276.5957447,0.110576923,1.8,208.5106383,"Thompson, Manitoba",Converted from carbon density. ANPP is wood + foliage,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Pinus banksiana,65,6168.085106,368.0851064,0.222222222,2.2,108.5106383,"Thompson, Manitoba",Converted from carbon density. ANPP is wood + foliage,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Populus tremuloides,53,NA,NA,NA,NA,748.9361702,Central Saskatchewan,,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Picea mariana,155,NA,NA,NA,NA,353.1914894,Central Saskatchewan,,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Pinus banksiana,63,NA,NA,NA,NA,248.9361702,Central Saskatchewan,,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Populus tremuloides,67,NA,NA,NA,NA,742.5531915,"Thompson, Manitoba",,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Picea mariana,115,NA,NA,NA,NA,289.3617021,"Thompson, Manitoba",,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
Pinus banksiana,65,NA,NA,NA,NA,259.5744681,"Thompson, Manitoba",,"Gower, S. T., J. G. Vogel, J. M. Norman, C. J. Kucharik, S. J. Steele, and T. K. Stow. 1997. Carbon distribution and aboveground net primary production in aspen, jack pine, and black spruce stands in Saskatchewan and Manitoba, Canada. Journal of Geophysical Research: Atmospheres 102:29029–29041.",,,,,,,,
