MapCode,SpeciesName,CohortAge,CohortBiomass
3,PseuMenz,520,231
3,PseuMenz,380,218
3,PseuMenz,350,168
3,PseuMenz,330,233
3,PseuMenz,320,126
3,PseuMenz,300,137
3,PseuMenz,280,114
3,PseuMenz,260,569
3,PseuMenz,250,231
3,PseuMenz,210,110
3,PseuMenz,200,320
3,PseuMenz,190,124
3,PseuMenz,180,205
3,PseuMenz,170,130
3,PseuMenz,160,664
3,PseuMenz,130,239
3,PseuMenz,120,246
3,PseuMenz,110,405
3,CaloDecu,170,154
3,CaloDecu,110,124
3,CaloDecu,60,228
3,CaloDecu,50,145
3,AlnuRhom,80,418
3,AlnuRhom,70,625
3,AlnuRhom,60,201
3,AlnuRhom,50,2595
3,AlnuRhom,40,3095
3,AlnuRhom,30,805
3,AlnuRhom,20,166
3,QuerChry,70,242
3,QuerChry,60,517
3,QuerChry,50,734
3,QuerChry,40,517
3,QuerKell,60,158
3,QuerKell,50,1120
3,QuerKell,40,2283
3,QuerKell,30,867
3,QuerWisl,60,179
3,QuerWisl,50,454
3,QuerWisl,40,588
3,QuerWisl,30,348
3,QuerWisl,20,217
3,AcerMacr,40,182
3,AcerMacr,30,287
