MapCode,SpeciesName,CohortAge,CohortBiomass
3,PopuTrem,130,690
3,PopuTrem,140,120
3,PopuTrem,180,2
3,PopuTrem,180,192
3,PopuTrem,120,212
3,PopuTrem,180,120
3,PopuTrem,180,80
3,PopuTrem,180,19
3,PopuTrem,180,4
3,PopuTrem,50,340
3,PopuTrem,30,187
3,PopuTrem,40,946
3,PopuTrem,40,279
3,PopuTrem,180,72
3,PopuTrem,180,78
3,PopuTrem,60,127
3,PopuTrem,20,69
3,PopuTrem,180,3
3,PopuTrem,180,2
3,PopuTrem,180,7
3,PopuTrem,170,142
3,PopuTrem,180,106
3,PopuTrem,20,62
3,PopuTrem,110,128
3,PopuTrem,30,38
3,PopuTrem,180,397
3,PopuTrem,20,55
3,PopuTrem,100,246
3,PopuTrem,50,88
3,PopuTrem,180,4
3,PopuTrem,180,48
3,PopuTrem,20,32
3,PopuTrem,140,11
3,PopuTrem,180,2
3,PopuTrem,80,223
3,PopuTrem,60,268
3,PopuTrem,10,11
3,PopuTrem,180,43
3,PopuTrem,80,561
3,PopuTrem,150,48
3,PopuTrem,120,320
3,PopuTrem,180,53
3,PopuTrem,180,3
3,PopuTrem,70,131
3,PopuTrem,100,3
3,PopuTrem,180,111
3,PopuTrem,180,3
3,PopuTrem,10,5
3,PopuTrem,180,51
3,PopuTrem,180,2
3,PopuTrem,180,273
3,PopuTrem,160,27
3,PopuTrem,140,273
3,PopuTrem,70,202
3,PopuTrem,80,241
3,PopuTrem,180,130
3,PopuTrem,180,15
3,PopuTrem,180,2
3,PopuTrem,10,41
3,PopuTrem,180,2
3,PopuTrem,180,11
3,PopuTrem,180,4
3,PopuTrem,180,138
3,PopuTrem,60,106
3,PopuTrem,180,3
3,PopuTrem,110,91
3,PopuTrem,30,425
3,PopuTrem,70,505
3,PopuTrem,80,104
3,PopuTrem,110,432
3,PopuTrem,30,4
3,PopuTrem,10,59
3,PopuTrem,180,141
3,PopuTrem,80,96
3,PopuTrem,60,234
3,PopuTrem,180,2
3,PopuTrem,180,148
3,PopuTrem,90,77
3,PopuTrem,50,743
3,PopuTrem,30,52
3,PopuTrem,30,420
3,PopuTrem,40,95
3,PopuTrem,30,49
3,PopuTrem,180,55
3,PopuTrem,180,6
3,PopuTrem,180,634
3,PopuTrem,80,489
3,PopuTrem,180,212
3,PopuTrem,180,4
3,PopuTrem,180,187
3,PopuTrem,50,511
3,PopuTrem,140,120
3,PopuTrem,180,104
3,PopuTrem,50,117
3,PopuTrem,170,254
3,PopuTrem,180,251
3,PopuTrem,180,4
3,PopuTrem,180,138
3,PopuTrem,180,143
3,PopuTrem,180,23
3,PopuTrem,160,4
3,PopuTrem,10,77
3,PopuTrem,160,219
3,PopuTrem,180,35
3,PopuTrem,100,355
3,PopuTrem,180,43
3,PopuTrem,70,604
3,PopuTrem,60,99
3,PopuTrem,40,46
3,PopuTrem,180,2
3,PopuTrem,20,31
3,PopuTrem,160,32
3,PopuTrem,60,21
3,PopuTrem,180,24
3,PopuTrem,50,527
3,PopuTrem,10,2
3,PopuTrem,180,3
3,PopuTrem,50,125
3,PopuTrem,180,102
3,PopuTrem,20,39
3,PopuTrem,50,87
3,PopuTrem,40,77
3,PopuTrem,180,52
3,PopuTrem,180,177
3,PopuTrem,180,141
3,PopuTrem,50,534
3,PopuTrem,140,1455
3,PopuTrem,180,136
3,PopuTrem,130,153
3,PopuTrem,180,51
3,PopuTrem,180,424
3,PopuTrem,170,43
3,PopuTrem,180,1
3,PopuTrem,180,5
3,PopuTrem,180,273
3,PopuTrem,180,19
3,PopuTrem,180,1
3,PopuTrem,30,27
3,PopuTrem,180,142
3,PopuTrem,100,3
3,PopuTrem,70,385
3,PopuTrem,180,1
3,PopuTrem,120,212
3,PopuTrem,10,2
3,PopuTrem,180,2
3,PopuTrem,130,17
3,PopuTrem,40,138
3,PopuTrem,180,59
3,PopuTrem,160,52
3,PopuTrem,110,514
3,PopuTrem,180,59
3,PopuTrem,180,1
3,PopuTrem,150,41
3,PopuTrem,60,11
3,PopuTrem,20,27
3,PopuTrem,10,30
3,PopuTrem,40,111
3,PopuTrem,180,45
3,PopuTrem,130,134
3,PopuTrem,110,59
3,PopuTrem,150,309
3,PopuTrem,30,10
3,PopuTrem,180,3
3,PopuTrem,130,184
3,PopuTrem,180,1
3,PopuTrem,180,1
3,PopuTrem,180,80
3,PopuTrem,180,1
3,PopuTrem,120,675
3,PopuTrem,70,30
3,PopuTrem,180,5
3,PopuTrem,180,154
3,PopuTrem,180,3
3,PopuTrem,180,138
3,PopuTrem,50,253
3,PopuTrem,20,12
3,PopuTrem,180,5
3,PopuTrem,40,251
3,PopuTrem,90,717
3,PopuTrem,180,204
3,PopuTrem,80,18
3,PopuTrem,180,1
3,PopuTrem,180,67
3,PopuTrem,180,1
3,PopuTrem,20,9
3,PopuTrem,180,128
3,PopuTrem,40,237
3,PopuTrem,170,79
3,PopuTrem,90,298
3,PopuTrem,170,204
3,PopuTrem,180,1
3,PopuTrem,180,108
3,PopuTrem,170,102
3,PopuTrem,20,147
3,PopuTrem,30,35
3,PopuTrem,180,19
3,PopuTrem,180,27
3,PopuTrem,30,115
3,PopuTrem,30,90
3,PopuTrem,60,306
3,PopuTrem,70,19
3,PopuTrem,60,459
3,PopuTrem,120,136
3,PopuTrem,180,15
3,PopuTrem,90,407
3,PopuTrem,70,347
3,PopuTrem,180,39
3,PopuTrem,100,280
3,PopuTrem,40,328
3,PopuTrem,180,55
3,PopuTrem,50,355
3,PopuTrem,70,673
