MapCode,SpeciesName,CohortAge,CohortBiomass
3,ArbuMenz,350,298
3,ArbuMenz,340,110
3,ArbuMenz,280,107
3,ArbuMenz,220,130
3,ArbuMenz,210,126
3,ArbuMenz,190,180
3,ArbuMenz,170,275
3,ArbuMenz,70,433
3,ArbuMenz,60,186
3,AbieConc,240,117
3,AbieConc,230,198
3,AbieConc,200,121
3,AbieConc,190,114
3,AbieConc,180,125
3,AbieConc,170,161
3,AbieConc,160,926
3,AbieConc,150,342
3,AbieConc,140,827
3,AbieConc,130,892
3,AbieConc,120,598
3,AbieConc,110,858
3,AbieConc,100,1217
3,AbieConc,90,1329
3,AbieConc,80,2013
3,AbieConc,70,2135
3,AbieConc,60,1177
3,AbieConc,50,3152
3,AbieConc,40,2136
3,AbieConc,30,1398
3,AbieConc,20,646
3,AbieConc,10,267
