"SPCD","COMMON_NAME","GENUS","SPECIES","VARIETY","SUBSPECIES","SPECIES_SYMBOL","E_SPGRPCD","W_SPGRPCD","C_SPGRPCD","P_SPGRPCD","MAJOR_SPGRPCD","STOCKING_SPGRPCD","FOREST_TYPE_SPGRPCD","EXISTS_IN_NCRS","EXISTS_IN_NERS","EXISTS_IN_PNWRS","EXISTS_IN_RMRS","EXISTS_IN_SRS","SITETREE","SFTWD_HRDWD","ST_EXISTS_IN_NCRS","ST_EXISTS_IN_NERS","ST_EXISTS_IN_PNWRS","ST_EXISTS_IN_RMRS","ST_EXISTS_IN_SRS","CORE","EAST","WEST","CARIBBEAN","PACIFIC","WOODLAND","MANUAL_START","MANUAL_END","JENKINS_SPGRPCD","JENKINS_TOTAL_B1","JENKINS_TOTAL_B2","JENKINS_STEM_WOOD_RATIO_B1","JENKINS_STEM_WOOD_RATIO_B2","JENKINS_STEM_BARK_RATIO_B1","JENKINS_STEM_BARK_RATIO_B2","JENKINS_FOLIAGE_RATIO_B1","JENKINS_FOLIAGE_RATIO_B2","JENKINS_ROOT_RATIO_B1","JENKINS_ROOT_RATIO_B2","JENKINS_SAPLING_ADJUSTMENT","WOOD_SPGR_GREENVOL_DRYWT","WOOD_SPGR_GREENVOL_DRYWT_CIT","BARK_SPGR_GREENVOL_DRYWT","BARK_SPGR_GREENVOL_DRYWT_CIT","MC_PCT_GREEN_BARK","MC_PCT_GREEN_BARK_CIT","MC_PCT_GREEN_WOOD","MC_PCT_GREEN_WOOD_CIT","WOOD_SPGR_MC12VOL_DRYWT","WOOD_SPGR_MC12VOL_DRYWT_CIT","BARK_VOL_PCT","BARK_VOL_PCT_CIT","RAILE_STUMP_DOB_B1","RAILE_STUMP_DIB_B1","RAILE_STUMP_DIB_B2","CWD_DECAY_RATIO1","CWD_DECAY_RATIO2","CWD_DECAY_RATIO3","CWD_DECAY_RATIO4","CWD_DECAY_RATIO5","DWM_CARBON_RATIO","STANDING_DEAD_DECAY_RATIO1","STANDING_DEAD_DECAY_RATIO2","STANDING_DEAD_DECAY_RATIO3","STANDING_DEAD_DECAY_RATIO4","STANDING_DEAD_DECAY_RATIO5","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","DRYWT_TO_GREENWT_CONVERSION"
913,"key thatch palm","Thrinax","morrisii","","","THMO4",43,47,53,,3,37,147,"","","","","X","","H","","","","","","N","E","","C","","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
914,"Florida thatch palm","Thrinax","radiata","","","THRA2",43,47,54,,3,37,147,"","","","","X","","H","","","","","","N","E","","C","","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
915,"other palms","Family Arecaceae","not listed above","","","ARECA",43,47,,,3,37,147,"","","","","X","","H","","","","","","N","E","","","","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
919,"western soapberry","Sapindus","saponaria","drummondii","","SASAD",43,47,,,4,37,221,"X","","","","X","","H","","","","","","N","E","W","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.991,0.822,0.647,0.541,0.541,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
920,"willow spp.","Salix","spp.","","","SALIX",43,47,54,,3,37,123,"X","X","X","","X","","H","","","","","","N","E","W","C","","",1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,23,0.5,23,99,23,127,23,0.39,23,16,32,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
921,"peachleaf willow","Salix","amygdaloides","","","SAAM2",43,47,,,3,25,123,"X","X","","","X","","H","","","","","","N","E","W","","","",1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
922,"black willow","Salix","nigra","","","SANI",41,47,,,3,25,123,"X","X","X","","X","","H","","","","","","N","E","W","","","",1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,1,0.5,6,98.72,11,127.02778,5,0.39,1,16,21,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21880910909090909090909090909090909091E00
923,"Bebb willow","Salix","bebbiana","","","SABE2",43,47,,,3,25,123,"X","X","","","X","","H","","","","","","N","E","W","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
924,"Bonpland willow","Salix","bonplandiana","","","SABO",41,47,,,3,25,123,"","","","","X","","H","","","","","","N","","W","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
925,"coastal plain willow","Salix","caroliniana","","","SACA5",43,47,,,3,25,123,"X","X","","","X","","H","","","","","","Y","E","","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
926,"balsam willow","Salix","pyrifolia","","","SAPY",43,47,,,3,25,123,"X","X","X","","","","H","","","","","","Y","E","","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
927,"white willow","Salix","alba","","","SAAL2",41,47,,,3,25,123,"X","X","","","X","","H","","","","","","N","E","W","","","",1.7,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
928,"Scouler's willow","Salix","scouleriana","","","SASC",41,47,,,3,25,123,"X","","X","","","","H","","","","","","N","","W","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",2.21909090909090909090909090909090909091E00
929,"weeping willow","Salix","x sepulcralis","","","SASE10",41,47,,,3,25,123,"X","X","","","X","","H","","","","","","Y","E","","","","",2,,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.36,24,0.5,24,99,24,127,24,0.39,24,16,24,0.09658,0.91882,0.08593,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2020-06-11,"67572",2.21909090909090909090909090909090909091E00
931,"sassafras","Sassafras","albidum","","","SAAL5",41,47,,,3,29,93,"X","X","","","X","","H","","","","","","Y","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.79248,0.42,1,0.5,6,89.1,22,67.88095,9,0.46,1,15,21,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,1.04,0.998,0.853,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.71095957575757575757575757575757575757E00
934,"mountain-ash spp.","Sorbus","spp.","","","SORBU",43,47,,,4,37,221,"X","X","","","X","","H","","","","","","N","E","","","","",2,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
935,"American mountain-ash","Sorbus","americana","","","SOAM3",43,47,,,4,25,221,"X","X","","","X","","H","","","","","","N","E","","","","",1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,"",2005-02-24,"333","",2017-02-16,"798795",1.75847359398215701559762004703938382405E00
