"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE","DAMAGE_AGENT_CD1_SRS","PCT_AFFECTED_DAMAGE_AGENT1_SRS","DAMAGE_AGENT_CD2_SRS","PCT_AFFECTED_DAMAGE_AGENT2_SRS","DAMAGE_AGENT_CD3_SRS","PCT_AFFECTED_DAMAGE_AGENT3_SRS","AGECD_RMRS","COUNTCHKCD_RMRS"
"2761",176511399010661,102513834010661,2007,26,2,83,20102,2,1,746,37,0.0104,14,NA,14,1049.513954,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2762",176511400010661,102513834010661,2007,26,2,83,20102,3,1,746,37,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2763",176530478010661,102513612010661,2007,26,2,83,20021,2,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2764",176530481010661,102513612010661,2007,26,2,83,20021,3,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2765",176530626010661,102513606010661,2007,26,2,83,20187,1,1,12,6,0.0065,15,NA,15,1124.479237,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2766",176530638010661,102513606010661,2007,26,2,83,20187,3,1,746,37,0.0022,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2767",176530639010661,102513606010661,2007,26,2,83,20187,4,1,12,6,0.0013,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2768",156974313010661,102510738010661,2007,26,2,83,20145,2,1,746,37,0.0015,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2769",178874391010661,102451328010661,2006,26,2,83,20226,1,1,12,6,0.0004,1,NA,1,74.965282,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2770",178874395010661,102451328010661,2006,26,2,83,20226,2,1,12,6,0.0056,13,NA,13,974.548672,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2771",178874398010661,102451328010661,2006,26,2,83,20226,3,1,12,6,0.0022,5,NA,5,374.826412,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2772",178874399010661,102451328010661,2006,26,2,83,20226,4,1,12,6,0.0013,3,NA,3,224.895847,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2773",178885070010661,102446564010661,2006,26,1,97,29007,1,1,12,6,0.003,7,NA,7,524.756977,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2774",178885071010661,102446564010661,2006,26,1,97,29007,2,1,12,6,0.0099,23,NA,23,1724.201496,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2775",178885073010661,102446564010661,2006,26,1,97,29007,3,1,12,6,0.0009,2,NA,2,149.930565,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2776",178885075010661,102446564010661,2006,26,1,97,29007,4,1,12,6,0.0009,2,NA,2,149.930565,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2777",104654318010661,102442388010661,2006,26,3,73,20045,2,2,746,37,0.0059,2,NA,2,149.930565,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2778",176476769010661,102517599010661,2007,26,2,13,20411,3,2,746,37,0.0068,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2779",176476770010661,102517599010661,2007,26,2,13,20411,4,2,12,6,0.001,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2780",176451805010661,102513033010661,2007,26,1,33,20405,1,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2781",156945552010661,102509610010661,2007,26,1,41,20256,1,1,12,6,0.6002,4,NA,4,299.86113,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2782",156945553010661,102509610010661,2007,26,1,41,20256,3,1,12,6,30,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2783",176534767010661,102518244010661,2007,26,2,53,29036,2,1,746,37,0.0022,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2784",176534768010661,102518244010661,2007,26,2,53,29036,4,1,746,37,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2785",176488182010661,102517899010661,2007,26,3,137,20061,4,1,746,37,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2786",176523972010661,102517389010661,2007,26,2,103,20516,1,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2787",176523973010661,102517389010661,2007,26,2,103,20516,1,1,746,37,0.0007,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2788",176523974010661,102517389010661,2007,26,2,103,20516,2,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2789",176523976010661,102517389010661,2007,26,2,103,20516,4,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2790",176525908010661,102517467010661,2007,26,2,103,20949,4,1,12,6,0.0009,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2791",176498240010661,102513438010661,2007,26,1,109,20332,2,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2792",176522666010661,102513534010661,2007,26,2,103,20818,1,1,12,6,0.0017,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2793",176522672010661,102513534010661,2007,26,2,103,20818,2,2,746,37,0.0001,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2794",176522674010661,102513534010661,2007,26,2,103,20818,4,2,12,6,0.0001,3,NA,3,224.895847,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2795",176522678010661,102513534010661,2007,26,2,103,20818,4,2,746,37,0.0001,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2796",176469529010661,102513312010661,2007,26,1,3,20153,3,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2797",156970943010661,102510729010661,2007,26,2,71,20426,3,1,12,6,0.0013,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2798",156970944010661,102510729010661,2007,26,2,71,20426,4,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2799",176541979010661,102513675010661,2007,26,2,71,20407,2,1,746,37,0.0015,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2800",176518565010661,102512484010661,2007,26,1,97,20165,2,1,12,6,0.0039,9,NA,9,674.687542,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2801",178930099010661,102451301010661,2006,26,2,71,20276,1,1,12,6,0.0026,6,NA,6,449.791695,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2802",178930104010661,102451301010661,2006,26,2,71,20276,3,1,12,6,0.0009,2,NA,2,149.930565,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2803",178930108010661,102451301010661,2006,26,2,71,20276,4,1,12,6,0.0035,8,NA,8,599.72226,7,2,NA,NA,NA,NA,NA,NA,NA,NA
"2804",176454987010661,102515946010661,2007,26,1,33,20692,1,1,12,6,0.0035,8,NA,8,599.72226,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2805",176454989010661,102515946010661,2007,26,1,33,20692,2,1,12,6,0.0095,22,NA,22,1649.236214,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2806",176454991010661,102515946010661,2007,26,1,33,20692,3,1,12,6,0.0001,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2807",176454993010661,102515946010661,2007,26,1,33,20692,4,1,12,6,0.0026,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2808",176460119010661,102513369010661,2007,26,1,41,20447,1,1,12,6,0.0012,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2809",176460121010661,102513369010661,2007,26,1,41,20447,3,1,12,6,0.0035,6,NA,6,449.791695,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2810",156968972010661,102509973010661,2007,26,2,61,20126,2,1,746,37,0.005,5,NA,5,374.826412,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2811",156968973010661,102509973010661,2007,26,2,61,20126,3,2,12,6,0.0035,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2812",156948189010661,102509004010661,2007,26,3,47,20059,1,1,12,6,0.0005,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2813",156948194010661,102509004010661,2007,26,3,47,20059,2,1,12,6,0.0089,17,NA,17,1274.409802,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2814",156948200010661,102509004010661,2007,26,3,47,20059,3,1,12,6,0.001,2,NA,2,149.930565,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2815",156948203010661,102509004010661,2007,26,3,47,20059,4,1,12,6,0.0012,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2816",176464459010661,102518424010661,2007,26,3,47,20001,1,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"2817",176464460010661,102518424010661,2007,26,3,47,20001,2,1,12,6,0.0004,1,NA,1,74.965282,7,3,NA,NA,NA,NA,NA,NA,NA,NA
